INFO:main:LCC_PRE_1993_to_1995.txt:, running time: 5.464746312000001, res: [[-145]], res_th: [[-145]], res2: [], training_time: [4.989602729], mapping_time: [0.41211720099999916]
INFO:main:LCC_PRE_2013_to_2015.txt:, running time: 111.247690757, res: [[-1759]], res_th: [[-1766]], res2: [], training_time: [75.532294756], mapping_time: [29.92773944800001]
INFO:main:LCC_PRE_2003_to_2005.txt:, running time: 99.434754131, res: [[-1689]], res_th: [[-1689]], res2: [], training_time: [71.893764249], mapping_time: [23.10015091400001]
INFO:main:LCC_PRE_2018_to_2020.txt:, running time: 86.21191320600002, res: [[-1500]], res_th: [[-1495]], res2: [], training_time: [61.817238006], mapping_time: [20.797692797999957]
INFO:main:LCC_PRE_2007_to_2009.txt:, running time: 81.38916751200003, res: [[-1428]], res_th: [[-1428]], res2: [], training_time: [60.23604083799995], mapping_time: [18.137286646999996]
INFO:main:LCC_PRE_2017_to_2019.txt:, running time: 88.25737060199998, res: [[-1527]], res_th: [[-1524]], res2: [], training_time: [63.19215542400002], mapping_time: [21.34405657299999]
INFO:main:LCC_PRE_1995_to_1997.txt:, running time: 12.386441794000007, res: [[-338]], res_th: [[-337]], res2: [], training_time: [11.581210446], mapping_time: [0.7140166639999848]
INFO:main:LCC_PRE_2009_to_2011.txt:, running time: 74.13571424399998, res: [[-1458]], res_th: [[-1453]], res2: [], training_time: [56.98047183899996], mapping_time: [14.632079088999944]
INFO:main:LCC_PRE_2000_to_2002.txt:, running time: 102.42314325799998, res: [[-1862]], res_th: [[-1868]], res2: [], training_time: [74.72728896399997], mapping_time: [23.166823507999993]
INFO:main:LCC_PRE_2005_to_2007.txt:, running time: 89.37370866200001, res: [[-1591]], res_th: [[-1598]], res2: [], training_time: [66.58202721299995], mapping_time: [19.337755895999976]
INFO:main:LCC_PRE_1998_to_2000.txt:, running time: 13.329461966000054, res: [[-324]], res_th: [[-324]], res2: [], training_time: [12.239397698000062], mapping_time: [0.9400257600000259]
INFO:main:LCC_PRE_2015_to_2017.txt:, running time: 103.77595148199998, res: [[-1632]], res_th: [[-1628]], res2: [], training_time: [71.534204079], mapping_time: [27.196826489000046]
INFO:main:LCC_PRE_1997_to_1999.txt:, running time: 14.584654671000067, res: [[-363]], res_th: [[-359]], res2: [], training_time: [13.379444380999985], mapping_time: [1.0373145040000509]
INFO:main:LCC_PRE_2010_to_2012.txt:, running time: 75.25451046299997, res: [[-1475]], res_th: [[-1476]], res2: [], training_time: [58.00706099299998], mapping_time: [14.660184090999905]
INFO:main:LCC_PRE_2002_to_2004.txt:, running time: 114.45012385299992, res: [[-1912]], res_th: [[-1918]], res2: [], training_time: [81.12416260199996], mapping_time: [27.872979689000204]
INFO:main:LCC_PRE_2019_to_2021.txt:, running time: 104.08389527500003, res: [[-1570]], res_th: [[-1567]], res2: [], training_time: [70.36460139999986], mapping_time: [28.572554409000077]
INFO:main:LCC_PRE_2012_to_2014.txt:, running time: 101.88729138000008, res: [[-1755]], res_th: [[-1755]], res2: [], training_time: [71.91854015099989], mapping_time: [25.45540063800013]
INFO:main:LCC_PRE_2011_to_2013.txt:, running time: 91.45100581299994, res: [[-1707]], res_th: [[-1713]], res2: [], training_time: [67.54042603199991], mapping_time: [20.035167525000134]
INFO:main:LCC_PRE_2014_to_2016.txt:, running time: 128.9906206610001, res: [[-1955]], res_th: [[-1957]], res2: [], training_time: [84.23018044100013], mapping_time: [36.95025249100013]
INFO:main:LCC_PRE_1996_to_1998.txt:, running time: 21.616734641999983, res: [[-456]], res_th: [[-460]], res2: [], training_time: [19.211276113000167], mapping_time: [2.148129539000138]
INFO:main:LCC_PRE_2004_to_2006.txt:, running time: 43.531908064999925, res: [[-931]], res_th: [[-929]], res2: [], training_time: [36.866952488999914], mapping_time: [5.8073842989999775]
INFO:main:LCC_PRE_1999_to_2001.txt:, running time: 83.63095562699982, res: [[-1444]], res_th: [[-1443]], res2: [], training_time: [63.490532510000094], mapping_time: [17.49298762500007]
INFO:main:LCC_PRE_2001_to_2003.txt:, running time: 123.2523287250001, res: [[-2059]], res_th: [[-2054]], res2: [], training_time: [85.24068462500009], mapping_time: [31.082647819000158]
INFO:main:LCC_PRE_2008_to_2010.txt:, running time: 112.9224098430002, res: [[-1781]], res_th: [[-1787]], res2: [], training_time: [75.14188277200014], mapping_time: [32.736403583999845]
INFO:main:LCC_PRE_2016_to_2018.txt:, running time: 110.49523900600002, res: [[-1540]], res_th: [[-1541]], res2: [], training_time: [72.48835644499991], mapping_time: [31.12281629800009]
INFO:main:LCC_PRE_1994_to_1996.txt:, running time: 8.48240717900012, res: [[-218]], res_th: [[-218]], res2: [], training_time: [7.97493775199996], mapping_time: [0.4578665500000625]
INFO:main:LCC_PRE_2006_to_2008.txt:, running time: 119.99871071200005, res: [[-1733]], res_th: [[-1734]], res2: [], training_time: [85.57987195300007], mapping_time: [29.412483821000023]
