INFO:main:LCC_PRE_1993_to_1995.txt:, running time: 13.535995383, res: [[-144]], res_th: [[-145]], res2: [], training_time: [13.127498054999998], mapping_time: [0.3736883330000005]
INFO:main:LCC_PRE_2013_to_2015.txt:, running time: 226.094387654, res: [[-1772]], res_th: [[-1772]], res2: [], training_time: [190.278558505], mapping_time: [30.182559731999987]
INFO:main:LCC_PRE_2003_to_2005.txt:, running time: 207.006956544, res: [[-1707]], res_th: [[-1705]], res2: [], training_time: [178.44907179], mapping_time: [24.29386465700003]
INFO:main:LCC_PRE_2018_to_2020.txt:, running time: 180.73816175699994, res: [[-1507]], res_th: [[-1505]], res2: [], training_time: [154.90297068399997], mapping_time: [22.226006453000082]
INFO:main:LCC_PRE_2007_to_2009.txt:, running time: 179.30160378300002, res: [[-1433]], res_th: [[-1435]], res2: [], training_time: [156.93136570800004], mapping_time: [19.268737573000067]
INFO:main:LCC_PRE_2017_to_2019.txt:, running time: 199.65640935800002, res: [[-1535]], res_th: [[-1534]], res2: [], training_time: [171.70135153800004], mapping_time: [24.000896843999953]
INFO:main:LCC_PRE_1995_to_1997.txt:, running time: 30.421603855000058, res: [[-341]], res_th: [[-340]], res2: [], training_time: [29.537400384999955], mapping_time: [0.7904894539999532]
INFO:main:LCC_PRE_2009_to_2011.txt:, running time: 178.15913628800013, res: [[-1462]], res_th: [[-1463]], res2: [], training_time: [159.52687869299984], mapping_time: [15.889756595000108]
INFO:main:LCC_PRE_2000_to_2002.txt:, running time: 230.91852665400006, res: [[-1874]], res_th: [[-1871]], res2: [], training_time: [198.79381525600002], mapping_time: [27.151564587000166]
INFO:main:LCC_PRE_2005_to_2007.txt:, running time: 193.89276334099986, res: [[-1598]], res_th: [[-1601]], res2: [], training_time: [168.77194975199995], mapping_time: [21.45012492800015]
INFO:main:LCC_PRE_1998_to_2000.txt:, running time: 32.4060604199999, res: [[-327]], res_th: [[-327]], res2: [], training_time: [31.249143010000125], mapping_time: [0.9652358349999304]
INFO:main:LCC_PRE_2015_to_2017.txt:, running time: 212.43532915800006, res: [[-1634]], res_th: [[-1638]], res2: [], training_time: [178.41446814399978], mapping_time: [28.80602722200001]
INFO:main:LCC_PRE_1997_to_1999.txt:, running time: 34.844367579999926, res: [[-363]], res_th: [[-363]], res2: [], training_time: [33.51030504200003], mapping_time: [1.1575881310000113]
INFO:main:LCC_PRE_2010_to_2012.txt:, running time: 164.1878129549998, res: [[-1488]], res_th: [[-1489]], res2: [], training_time: [145.82491932799985], mapping_time: [15.742619703999935]
INFO:main:LCC_PRE_2002_to_2004.txt:, running time: 242.43780145599976, res: [[-1929]], res_th: [[-1930]], res2: [], training_time: [207.29459354300025], mapping_time: [29.1949550610002]
INFO:main:LCC_PRE_2019_to_2021.txt:, running time: 210.53496176399995, res: [[-1576]], res_th: [[-1578]], res2: [], training_time: [175.02212052799996], mapping_time: [30.043013036000048]
INFO:main:LCC_PRE_2012_to_2014.txt:, running time: 210.13010577800014, res: [[-1762]], res_th: [[-1761]], res2: [], training_time: [178.41506541200033], mapping_time: [27.010918908999884]
INFO:main:LCC_PRE_2011_to_2013.txt:, running time: 196.0060798999998, res: [[-1714]], res_th: [[-1717]], res2: [], training_time: [170.76697152399993], mapping_time: [21.381250078999983]
INFO:main:LCC_PRE_2014_to_2016.txt:, running time: 276.19595280500016, res: [[-1963]], res_th: [[-1961]], res2: [], training_time: [229.15191732799985], mapping_time: [38.92457735400012]
INFO:main:LCC_PRE_1996_to_1998.txt:, running time: 54.167117052999856, res: [[-462]], res_th: [[-462]], res2: [], training_time: [51.03839649700012], mapping_time: [2.854810133999763]
INFO:main:LCC_PRE_2004_to_2006.txt:, running time: 100.6104426689999, res: [[-937]], res_th: [[-937]], res2: [], training_time: [93.36199207599975], mapping_time: [6.164380916000027]
INFO:main:LCC_PRE_1999_to_2001.txt:, running time: 168.01294001500037, res: [[-1452]], res_th: [[-1451]], res2: [], training_time: [148.71340260800025], mapping_time: [16.449313037000138]
INFO:main:LCC_PRE_2001_to_2003.txt:, running time: 247.93345827199983, res: [[-2067]], res_th: [[-2066]], res2: [], training_time: [210.00073808300021], mapping_time: [31.48483883400013]
INFO:main:LCC_PRE_2008_to_2010.txt:, running time: 216.15751762300033, res: [[-1785]], res_th: [[-1785]], res2: [], training_time: [183.30307031699977], mapping_time: [27.712453576999906]
INFO:main:LCC_PRE_2016_to_2018.txt:, running time: 205.23137788899976, res: [[-1546]], res_th: [[-1547]], res2: [], training_time: [171.24183267199987], mapping_time: [29.115218269999787]
INFO:main:LCC_PRE_1994_to_1996.txt:, running time: 17.43551168799968, res: [[-219]], res_th: [[-220]], res2: [], training_time: [16.716430409999703], mapping_time: [0.6596122880000621]
INFO:main:LCC_PRE_2006_to_2008.txt:, running time: 224.0027488329997, res: [[-1737]], res_th: [[-1739]], res2: [], training_time: [190.90939129900016], mapping_time: [28.44808313900012]
