INFO:main:LCC_PRE_1993_to_1995.txt:, running time: 6.572620789000001, res: [[-143]], res_th: [[-143]], res2: [], training_time: [5.55227712], mapping_time: [0.9878132129999999]
INFO:main:LCC_PRE_2013_to_2015.txt:, running time: 253.14606911200002, res: [[-1773]], res_th: [[-1764]], res2: [], training_time: [83.193090717], mapping_time: [163.37839777700003]
INFO:main:LCC_PRE_2003_to_2005.txt:, running time: 213.68760598399996, res: [[-1713]], res_th: [[-1698]], res2: [], training_time: [75.79100659400001], mapping_time: [133.24166417000004]
INFO:main:LCC_PRE_2018_to_2020.txt:, running time: 188.47815080900006, res: [[-1509]], res_th: [[-1502]], res2: [], training_time: [65.29391064100002], mapping_time: [119.177749371]
INFO:main:LCC_PRE_2007_to_2009.txt:, running time: 172.778708306, res: [[-1439]], res_th: [[-1418]], res2: [], training_time: [64.23609317499995], mapping_time: [105.32042689999992]
INFO:main:LCC_PRE_2017_to_2019.txt:, running time: 193.53838423499997, res: [[-1538]], res_th: [[-1527]], res2: [], training_time: [69.35047534700004], mapping_time: [119.544615067]
INFO:main:LCC_PRE_1995_to_1997.txt:, running time: 15.900586339000029, res: [[-342]], res_th: [[-337]], res2: [], training_time: [12.35305365399995], mapping_time: [3.45578374899992]
INFO:main:LCC_PRE_2009_to_2011.txt:, running time: 151.14503096400017, res: [[-1465]], res_th: [[-1455]], res2: [], training_time: [63.41636125500008], mapping_time: [84.62687221200008]
INFO:main:LCC_PRE_2000_to_2002.txt:, running time: 223.40965931000005, res: [[-1881]], res_th: [[-1867]], res2: [], training_time: [80.33065139699988], mapping_time: [137.21901836799998]
INFO:main:LCC_PRE_2005_to_2007.txt:, running time: 177.27016247000006, res: [[-1603]], res_th: [[-1589]], res2: [], training_time: [68.90470392199995], mapping_time: [104.40728241000011]
INFO:main:LCC_PRE_1998_to_2000.txt:, running time: 16.35621622000008, res: [[-325]], res_th: [[-325]], res2: [], training_time: [12.08476255200003], mapping_time: [4.101580830000103]
INFO:main:LCC_PRE_2015_to_2017.txt:, running time: 217.33708597300006, res: [[-1639]], res_th: [[-1628]], res2: [], training_time: [70.49459277000005], mapping_time: [141.62600818600004]
INFO:main:LCC_PRE_1997_to_1999.txt:, running time: 17.836573812000097, res: [[-364]], res_th: [[-362]], res2: [], training_time: [13.073887465000098], mapping_time: [4.598534444000052]
INFO:main:LCC_PRE_2010_to_2012.txt:, running time: 141.456004247, res: [[-1489]], res_th: [[-1480]], res2: [], training_time: [56.68722275899995], mapping_time: [82.13072416]
INFO:main:LCC_PRE_2002_to_2004.txt:, running time: 329.3903438279999, res: [[-1934]], res_th: [[-1923]], res2: [], training_time: [78.946894832], mapping_time: [190.98406733899992]
INFO:main:LCC_PRE_2019_to_2021.txt:, running time: 242.42068068799972, res: [[-1582]], res_th: [[-1572]], res2: [], training_time: [72.26978005299998], mapping_time: [164.81522316899964]
INFO:main:LCC_PRE_2012_to_2014.txt:, running time: 216.41748428499977, res: [[-1763]], res_th: [[-1754]], res2: [], training_time: [74.12553778199981], mapping_time: [137.55111443899978]
INFO:main:LCC_PRE_2011_to_2013.txt:, running time: 197.53173271700007, res: [[-1720]], res_th: [[-1704]], res2: [], training_time: [70.54069115399989], mapping_time: [122.93823629899998]
INFO:main:LCC_PRE_2014_to_2016.txt:, running time: 286.3764567889998, res: [[-1968]], res_th: [[-1950]], res2: [], training_time: [77.18546144899983], mapping_time: [195.03775060700036]
INFO:main:LCC_PRE_1996_to_1998.txt:, running time: 29.79038645699984, res: [[-462]], res_th: [[-459]], res2: [], training_time: [18.722187919000135], mapping_time: [10.784870772999966]
INFO:main:LCC_PRE_2004_to_2006.txt:, running time: 68.39946746500027, res: [[-938]], res_th: [[-926]], res2: [], training_time: [36.33601901600014], mapping_time: [31.153545474999646]
INFO:main:LCC_PRE_1999_to_2001.txt:, running time: 144.699909167, res: [[-1461]], res_th: [[-1440]], res2: [], training_time: [57.81565674000012], mapping_time: [84.22273687699999]
INFO:main:LCC_PRE_2001_to_2003.txt:, running time: 253.65306278599974, res: [[-2073]], res_th: [[-2050]], res2: [], training_time: [82.84746671899984], mapping_time: [164.51579599900015]
INFO:main:LCC_PRE_2008_to_2010.txt:, running time: 220.2882968670001, res: [[-1789]], res_th: [[-1779]], res2: [], training_time: [71.85929515499993], mapping_time: [143.38668773500012]
INFO:main:LCC_PRE_2016_to_2018.txt:, running time: 220.6077915259998, res: [[-1549]], res_th: [[-1535]], res2: [], training_time: [68.0640513950002], mapping_time: [147.60661315699963]
INFO:main:LCC_PRE_1994_to_1996.txt:, running time: 9.379410936000568, res: [[-220]], res_th: [[-217]], res2: [], training_time: [7.732476071999372], mapping_time: [1.5948015920002945]
INFO:main:LCC_PRE_2006_to_2008.txt:, running time: 209.18321839300006, res: [[-1743]], res_th: [[-1730]], res2: [], training_time: [71.55755379699985], mapping_time: [132.94195932999992]
